subfield_dom,autores,certificados,obras,obras_mediana,cobertura_pct,ci_low,ci_high,cobertura_hasta2023_pct,cobertura_2obras_pct
Endocrine and Autonomic Systems,46,3,92,1.0,6.5,2.2,17.5,8.1,
Linguistics and Language,219,14,323,1.0,6.4,3.8,10.4,5.0,15.9
"Physical Therapy, Sports Therapy and Rehabilitation",127,8,176,1.0,6.3,3.2,11.9,6.0,
Organizational Behavior and Human Resource Management,2021,125,3028,1.0,6.2,5.2,7.3,8.1,13.0
Occupational Therapy,1328,77,1758,1.0,5.8,4.7,7.2,5.6,17.7
Pharmacy,443,25,535,1.0,5.6,3.9,8.2,5.1,18.4
Software,201,11,273,1.0,5.5,3.1,9.5,5.3,
Law,2986,150,5023,1.0,5.0,4.3,5.9,5.5,10.4
Management Science and Operations Research,529,25,1004,1.0,4.7,3.2,6.9,3.9,9.3
"Issues, ethics and legal aspects",45,2,61,1.0,4.4,1.2,14.8,5.4,
Life-span and Life-course Studies,94,4,121,1.0,4.3,1.7,10.4,6.1,
Museology,181,7,275,1.0,3.9,1.9,7.8,4.3,7.3
General Arts and Humanities,83,3,102,1.0,3.6,1.2,10.1,5.0,
Internal Medicine,44,1,59,1.0,2.3,0.4,11.8,0.0,
